     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
 0.0 |     5512     6669 |    0     0    0     0
 0.1 |     5511     6669 |    0     0    0     0
 0.2 |     5511     6669 |    0     0    0     0
 0.3 |     5511     6669 |    0     0    0     0
 0.4 |     5511     6669 |    0     0    0     0
 0.5 |     5511     6669 |    0     0    0     0
 0.6 |     5511     6669 |    0     0    0     0
 0.7 |     5513     6669 |    0     0    0     0
 0.8 |     5513     6669 |    0     0    0     0
 0.9 |     5513     6669 |    0     0    0     0
 1.0 |     5513     6669 |    0     0    0     0
 1.1 |     5511     6669 |    0     0    0     0
 1.2 |     5511     6669 |    0     0    0     0
 1.3 |     5511     6669 |    0     0    0     0
 1.4 |     5511     6669 |    0     0    0     0
 1.5 |     5511     6669 |    0     0    0     0
 1.6 |     5511     6669 |    0     0    0     0
 1.7 |     5511     6669 |    0     0    0     0
 1.8 |     5511     6669 |    0     0    0     0
 1.9 |     5511     6669 |    0     0    0     0
 2.0 |     5512     6669 |    0     0    0     0
 2.1 |     5512     6669 |    0     0    0     0
 2.2 |     5512     6669 |    0     0    0     0
 2.3 |     5512     6669 |    0     0    0     0
 2.4 |     5509     6669 |    0     0    0     0
 2.5 |     5325     6669 |    0     0    0     0
 2.6 |     5133     6669 |   30     0    8     0
 2.7 |     4943     6669 |   42     0   17     0
 2.8 |     4752     6669 |   47     0   18     0
 2.9 |     4584     6669 |   39     0   12     0
 3.0 |     4421     6669 |   30     0   10     0
 3.1 |     4193     6669 |   46     0   18     0
 3.2 |     3972     6669 |   40     0   13     0
 3.3 |     3785     6669 |   39     0   15     0
 3.4 |     3563     6669 |   45     0   14     0
 3.5 |     3426     6669 |   60     0   26     0
 3.6 |     3232     6669 |   35     3   14     1
 3.7 |     3016     6669 |   32     3   15     1
 3.8 |     2821     6669 |   38     3   15     1
 3.9 |     2611     6669 |   40     3   15     1
 4.0 |     2528     6669 |   15     3    6     1
 4.1 |     2527     6669 |    0     3    0     1
 4.2 |     2527     6669 |    0     3    0     1
 4.3 |     2527     6669 |    0     3    0     1
 4.4 |     2527     6669 |    0     3    0     1
 4.5 |     2527     6669 |    0     3    0     1
 4.6 |     2527     6669 |    0     3    0     1
 4.7 |     2527     6669 |    0     3    0     1
 4.8 |     2527     6669 |    0     3    0     1
 4.9 |     2527     6669 |    0     3    0     1
 5.0 |     2525     6669 |    0     3    0     1
 5.1 |     2517     6669 |    0     3    0     1
 5.2 |     2517     6669 |    0     3    0     1
 5.3 |     2517     6669 |    0     3    0     1
 5.4 |     2517     6669 |    0     3    0     1
 5.5 |     2517     6669 |    0     3    0     1
 5.6 |     2517     6669 |    0     4    0     1
 5.7 |     2518     6669 |    0     4    0     1
 5.8 |     2518     6669 |    0     4    0     1
 5.9 |     2518     6669 |    0     4    0     1
