     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -                      
 0.0 |     5727     6297 |    0     0    0     0
 0.1 |     5727     6297 |    0     0    0     0
 0.2 |     5726     6297 |    0     0    0     0
 0.3 |     5726     6297 |    0     0    0     0
 0.4 |     5716     6297 |    0     0    0     0
 0.5 |     5716     6297 |    0     0    0     0
 0.6 |     5715     6297 |    0     0    0     0
 0.7 |     5715     6297 |    0     0    0     0
 0.8 |     5715     6297 |    0     0    0     0
 0.9 |     5715     6297 |    0     0    0     0
 1.0 |     5715     6297 |    0     0    0     0
 1.1 |     5715     6297 |    0     0    0     0
 1.2 |     5715     6297 |    0     0    0     0
 1.3 |     5715     6297 |    0     0    0     0
 1.4 |     5715     6297 |    0     0    0     0
 1.5 |     5715     6297 |    0     0    0     0
 1.6 |     5715     6297 |    0     0    0     0
 1.7 |     5715     6297 |    0     0    0     0
 1.8 |     5379     6297 |    0     0    0     0
 1.9 |     4972     6297 |    3     0    0     0
 2.0 |     4540     6297 |    2     0    0     0
 2.1 |     4056     6297 |    0     0    0     0
 2.2 |     3652     6297 |   23     0   13     0
 2.3 |     3390     6297 |   50     0   28     0
 2.4 |     3147     6297 |   50     0   16     0
 2.5 |     2978     6297 |   47     1   23     0
 2.6 |     2529     6297 |    1     1    0     0
 2.7 |     2044     6297 |    0     1    0     0
 2.8 |     1565     6297 |    0     1    0     0
 2.9 |     1135     6297 |    0     1    0     0
 3.0 |      680     6297 |    0     1    0     0
 3.1 |      253     6297 |   12     1    3     0
 3.2 |      184     6353 |   79     1   18     0
 3.3 |      153     6364 |   89     1   15     0
 3.4 |      139     6420 |   79     1   14     0
 3.5 |      121     6424 |   90     1    9     0
 3.6 |      122     6411 |  102     1    0     0
 3.7 |      118     6401 |   90     1   10     0
 3.8 |      116     6391 |  105     1   22     0
 3.9 |      113     6376 |   75     1    5     0
 4.1 |      115     6358 |   80     1    5     0
 4.2 |      110     6346 |   86     1    9     0
 4.3 |       96     6342 |   68     1   12     0
 4.4 |       93     6335 |   94     1   22     0
 4.5 |       93     6321 |   86    11   16     1
 4.6 |       89     6308 |   62    11    4     1
 4.7 |       88     6299 |   98    11    7     1
 4.8 |       84     6293 |  100    11   10     1
 4.9 |       77     6288 |   93    11    4     1
 5.0 |       56     6278 |   82    11    3     1
 5.1 |       71     6267 |   97    11   13     1
 5.2 |       62     6272 |   81    11   12     1
 5.3 |       52     6274 |   68    11   12     1
 5.4 |       59     6272 |   91    11   12     1
 5.5 |       60     6266 |   71    11   18     1
 5.6 |       51     6266 |   72    11   12     1
 5.7 |       46     6258 |   77    11   14     1
 5.8 |       47     6247 |   63    11    1     1
 5.9 |       55     6248 |   82    11   39     1
 6.0 |       44     6248 |   79    11   19     1
 6.1 |       51     6246 |   79    11   18     1
