     | /proc/meminfo     | /proc/pressure/memory
Time | MemAvail SwapFree | some avg10 full avg10
   s |      MiB      MiB |    %     %    %     %
     -                   -
[...]
 2.9 |     5902     5942 |    0     0    0     0
 3.0 |     5415     5942 |    0     0    0     0
 3.1 |     4930     5942 |    0     0    0     0
 3.2 |     4450     5942 |    0     0    0     0
 3.3 |     3969     5942 |    0     0    0     0
 3.4 |     3514     5942 |    5     0    2     0
 3.5 |     3065     5942 |    9     0    3     0
 3.6 |     2577     5942 |    0     0    0     0
 3.7 |     2105     5942 |    0     0    0     0
 3.8 |     1616     5942 |    0     0    0     0
 3.9 |     1143     5942 |    0     0    0     0
 4.0 |      653     5942 |    0     0    0     0
 4.1 |      171     5942 |    0     0    0     0
 4.2 |      103     5949 |   84     0   32     0
 4.3 |       86     6026 |   79     0   26     0
 4.4 |       75     6049 |   98     0   24     0
 4.5 |       64     6075 |  103     0   18     0
 4.6 |       56     6064 |  100     0   10     0
 4.7 |       51     6054 |   91     0    4     0
 4.8 |       50     6045 |   88     0    4     0
 4.9 |       49     6033 |   86     0    5     0
 5.1 |       49     6013 |   77     0    7     0
 5.2 |       41     6007 |   94     0    7     0
 5.3 |       39     5996 |   91     0    8     0
 5.4 |       35     5980 |   85     0   15     0
 5.6 |       36     5959 |   90    10    8     1
 5.7 |       40     5950 |   69    10    3     1
 5.8 |       39     5941 |   94    10    4     1
 5.9 |       33     5926 |   66    10    8     1
 6.0 |       33     5912 |  108    10    7     1
 6.1 |       35     5905 |   85    10    1     1
 6.2 |       35     5893 |   85    10    8     1
 6.3 |       35     5877 |   68    10    2     1
 6.4 |       35     5861 |   84    10    7     1
 6.5 |       33     5847 |   75    10    7     1
 6.6 |       33     5832 |   74    10    6     1
 6.7 |       32     5831 |   99    10   68     1
 6.9 |       33     5828 |   99    10   75     1
 7.0 |       33     5823 |   91    10   54     1
 7.1 |       33     5819 |  109    10   78     1
 7.2 |       32     5812 |  121    10   73     1
 7.3 |       30     5795 |  108    10   44     1
 7.4 |       26     5784 |   91    10   18     1
 7.6 |       24     5775 |   88    23    6     5
 7.7 |       25     5765 |  103    23   41     5
 7.8 |       26     5761 |  107    23   69     5
 7.9 |       25     5756 |   96    23   62     5
 8.0 |       27     5747 |   86    23   43     5
 8.2 |       39     5740 |  145    23  104     5
 8.3 |       45     5734 |  137    23  104     5
 8.4 |       44     5729 |  100    23   60     5
 8.8 |       81     5621 |  650    23  301     5
 9.8 |       82     5582 |  842    34  412    12
10.4 |       79     5567 |  131    34   63    12
10.5 |       78     5533 |  419    34  263    12
11.0 |       78     5496 |  420    34  205    12
11.4 |       78     5487 |  174    34   84    12
11.6 |       79     5482 |  163    44  122    18
11.8 |       78     5476 |  106    44   38    18
11.9 |       80     5471 |  101    44   57    18
12.0 |       78     5463 |   91    44   59    18
12.1 |       78     5453 |  115    44   58    18
